feat	count	weight	rel_role	group_name
obl<acl< ...	1.0	0.355	adaptation_comment	Chordate__phylum
compound<obl<nsubj> ...	1.0	0.44	adaptation_comment	Chordate__phylum
obl<acl<conj> ...	1.0	0.262	adaptation_comment	Chordate__phylum
conj>nmod>case> ...	1.0	0.386	adaptation_comment	Chordate__phylum
conj>nmod>det> ...	1.0	0.336	adaptation_comment	Chordate__phylum
conj>nmod>amod> ...	1.0	0.591	adaptation_comment	Chordate__phylum
conj>nmod> ...	1.0	0.371	adaptation_comment	Chordate__phylum
appos>amod> ...	1.0	0.49	adaptation_comment	Chordate__phylum
appos>nmod>case> ...	1.0	0.44	adaptation_comment	Chordate__phylum
appos>nmod> ...	1.0	0.583	adaptation_comment	Chordate__phylum
appos>nmod>nmod> ...	1.0	0.325	adaptation_comment	Chordate__phylum
appos>conj>cc> ...	1.0	0.386	adaptation_comment	Chordate__phylum
appos>conj> ...	1.0	0.207	adaptation_comment	Chordate__phylum
nsubj<obj>det> ...	1.0	0.339	adaptation_comment	Chordate__phylum
nsubj<parataxis>nsubj> ...	1.0	0.358	adaptation_comment	Chordate__phylum
nsubj<parataxis> ...	1.0	0.228	adaptation_comment	Chordate__phylum
nmod<obj<nsubj> ...	1.0	0.276	adaptation_comment	Chordate__phylum
compound>compound> ...	1.0	0.206	adaptation_comment	Chordate__phylum
nmod<acl> ...	1.0	0.447	adaptation_comment	Chordate__phylum
nmod<appos<conj> ...	1.0	0.175	adaptation_comment	Chordate__phylum
compound<obl<conj< ...	1.0	0.358	adaptation_comment	Chordate__phylum
conj>obl> ...	1.0	0.265	adaptation_comment	Chordate__phylum
advcl<advmod> ...	1.0	0.382	adaptation_comment	Chordate__phylum
advcl< ...	1.0	0.459	adaptation_comment	Chordate__phylum
mark> ...	1.0	0.291	adaptation_comment	Chordate__phylum
obl<cop> ...	1.0	0.358	adaptation_comment	Chordate__phylum
obl<conj>compound> ...	1.0	0.315	adaptation_comment	Chordate__phylum
obl<conj>aux:pass> ...	1.0	0.384	adaptation_comment	Chordate__phylum
nsubj<conj>advcl> ...	1.0	0.133	adaptation_comment	Chordate__phylum
nsubj<conj>aux:pass> ...	1.0	0.706	adaptation_comment	Chordate__phylum
parataxis>obl>case> ...	1.0	0.159	adaptation_comment	Chordate__phylum
nsubj>nmod>det> ...	1.0	0.147	adaptation_comment	Chordate__phylum
parataxis>obl> ...	1.0	0.339	adaptation_comment	Chordate__phylum
nsubj<conj>aux> ...	1.0	0.619	adaptation_comment	Chordate__phylum
parataxis>conj>cc> ...	1.0	0.21	adaptation_comment	Chordate__phylum
parataxis>conj> ...	1.0	0.289	adaptation_comment	Chordate__phylum
nsubj<nsubj>det> ...	1.0	0.193	adaptation_comment	Chordate__phylum
nsubj<nsubj> ...	1.0	0.257	adaptation_comment	Chordate__phylum
nsubj<obl>case> ...	1.0	0.595	adaptation_comment	Chordate__phylum
nsubj<obl>amod> ...	1.0	0.255	adaptation_comment	Chordate__phylum
nsubj<obl> ...	1.0	0.324	adaptation_comment	Chordate__phylum
obl<obj> ...	1.0	0.252	adaptation_comment	Chordate__phylum
obl<acl<det> ...	1.0	0.404	adaptation_comment	Chordate__phylum
nsubj<conj>amod> ...	1.0	0.45	adaptation_comment	Chordate__phylum
compound<nmod<nmod< ...	1.0	0.21	adaptation_comment	Chordate__phylum
compound<nmod<case> ...	1.0	0.486	adaptation_comment	Chordate__phylum
compound<nmod< ...	1.0	0.461	adaptation_comment	Chordate__phylum
compound<conj>cc> ...	1.0	0.318	adaptation_comment	Chordate__phylum
compound<conj> ...	1.0	0.185	adaptation_comment	Chordate__phylum
compound<conj>nmod> ...	1.0	0.238	adaptation_comment	Chordate__phylum
obl<nsubj:pass> ...	1.0	0.54	adaptation_comment	Chordate__phylum
obl<aux:pass> ...	1.0	0.651	adaptation_comment	Chordate__phylum
obl<obl>case> ...	1.0	0.307	adaptation_comment	Chordate__phylum
