feat	count	weight	rel_role	group_name
nsubj<obj>conj> ...	2.0	0.595	adaptation_comment	Cetacea__order
acl>obl>amod> ...	2.0	0.216	adaptation_comment	Cetacea__order
acl>obl> ...	2.0	0.478	adaptation_comment	Cetacea__order
conj<conj> ...	2.0	0.819	adaptation_comment	Cetacea__order
amod<nmod:poss> they	2.0	0.429	adaptation_comment	Cetacea__order
acl> ...	2.0	0.545	adaptation_comment	Cetacea__order
conj<conj>cc> ...	2.0	0.409	adaptation_comment	Cetacea__order
nsubj:pass<obl>case> in	2.0	0.773	adaptation_comment	Cetacea__order
compound<case> in	2.0	0.228	adaptation_comment	Cetacea__order
conj<case> ...	2.0	0.467	adaptation_comment	Cetacea__order
nsubj<obj>compound> ...	2.0	0.378	adaptation_comment	Cetacea__order
appos<appos> ...	1.0	0.208	adaptation_comment	Cetacea__order
advcl>nsubj> ...	1.0	0.589	adaptation_comment	Cetacea__order
obl>case> ...	1.0	0.341	adaptation_comment	Cetacea__order
advcl> ...	1.0	0.354	adaptation_comment	Cetacea__order
nmod<obj<acl< ...	1.0	0.579	adaptation_comment	Cetacea__order
advcl>conj>cc> ...	1.0	0.217	adaptation_comment	Cetacea__order
obl>nmod:poss> ...	1.0	0.557	adaptation_comment	Cetacea__order
advcl>mark> ...	1.0	0.438	adaptation_comment	Cetacea__order
nsubj<advcl>conj> ...	1.0	0.376	adaptation_comment	Cetacea__order
nsubj<obj>obl> ...	1.0	0.365	adaptation_comment	Cetacea__order
appos<appos< ...	1.0	0.439	adaptation_comment	Cetacea__order
nmod<obj<advmod> ...	1.0	0.236	adaptation_comment	Cetacea__order
obl<advcl<obl> ...	1.0	0.287	adaptation_comment	Cetacea__order
obl> ...	1.0	0.24	adaptation_comment	Cetacea__order
obl>compound> ...	1.0	0.317	adaptation_comment	Cetacea__order
nsubj<advcl>mark> ...	1.0	0.482	adaptation_comment	Cetacea__order
nsubj<advcl>nsubj> ...	1.0	0.493	adaptation_comment	Cetacea__order
nsubj<advcl> ...	1.0	0.546	adaptation_comment	Cetacea__order
nsubj<advcl>advmod> ...	1.0	0.412	adaptation_comment	Cetacea__order
appos<amod> ...	1.0	0.424	adaptation_comment	Cetacea__order
nmod<nsubj<cop> ...	1.0	0.41	adaptation_comment	Cetacea__order
det> no	1.0	1.119	adaptation_comment	Cetacea__order
obj<nsubj> whale	1.0	0.582	adaptation_comment	Cetacea__order
obl<obl>case> to	1.0	0.572	adaptation_comment	Cetacea__order
obl<obl>det> the	1.0	0.391	adaptation_comment	Cetacea__order
obj<advcl>mark> although	1.0	0.425	adaptation_comment	Cetacea__order
obj<advcl>aux:pass> be	1.0	0.636	adaptation_comment	Cetacea__order
nmod>compound>compound> ...	1.0	0.418	adaptation_comment	Cetacea__order
nmod>case>fixed> ...	1.0	0.434	adaptation_comment	Cetacea__order
obj<acl< ...	1.0	0.404	adaptation_comment	Cetacea__order
nsubj<conj>cop> be	1.0	0.424	adaptation_comment	Cetacea__order
conj<conj>nmod> whale	1.0	0.326	adaptation_comment	Cetacea__order
conj<conj>cc> and	1.0	0.531	adaptation_comment	Cetacea__order
conj< include	1.0	0.612	adaptation_comment	Cetacea__order
conj<nsubj> predator	1.0	0.551	adaptation_comment	Cetacea__order
nmod>amod> other	1.0	0.493	adaptation_comment	Cetacea__order
nmod>conj>cc> and	1.0	0.287	adaptation_comment	Cetacea__order
compound<conj> ...	1.0	0.526	adaptation_comment	Cetacea__order
compound<appos<compound> ...	1.0	0.156	adaptation_comment	Cetacea__order
compound<appos<nsubj< ...	1.0	0.603	adaptation_comment	Cetacea__order
compound<appos<flat> ...	1.0	0.572	adaptation_comment	Cetacea__order
compound<appos< ...	1.0	0.49	adaptation_comment	Cetacea__order
compound<appos<det> ...	1.0	0.487	adaptation_comment	Cetacea__order
nmod<nsubj<aux> ...	1.0	0.163	adaptation_comment	Cetacea__order
conj>nmod> ...	1.0	0.286	adaptation_comment	Cetacea__order
conj>nmod>compound> ...	1.0	0.296	adaptation_comment	Cetacea__order
nsubj<ccomp<nsubj> ...	1.0	0.228	adaptation_comment	Cetacea__order
nsubj<ccomp< ...	1.0	0.702	adaptation_comment	Cetacea__order
nsubj<obl>det> ...	1.0	0.756	adaptation_comment	Cetacea__order
nsubj<obl>amod> ...	1.0	0.443	adaptation_comment	Cetacea__order
nsubj<aux> ...	1.0	0.736	adaptation_comment	Cetacea__order
nmod<obj<acl:relcl< ...	1.0	0.58	adaptation_comment	Cetacea__order
nmod<obj<obj> ...	1.0	0.37	adaptation_comment	Cetacea__order
nmod<conj>cc> ...	1.0	0.3	adaptation_comment	Cetacea__order
nmod<conj>amod> ...	1.0	0.353	adaptation_comment	Cetacea__order
nmod<conj>compound> ...	1.0	0.579	adaptation_comment	Cetacea__order
nmod<conj> ...	1.0	0.646	adaptation_comment	Cetacea__order
nmod<conj>nmod> ...	1.0	0.396	adaptation_comment	Cetacea__order
nmod<acl:relcl>nsubj> ...	1.0	0.315	adaptation_comment	Cetacea__order
nmod<acl:relcl> ...	1.0	0.336	adaptation_comment	Cetacea__order
nmod<acl:relcl>obj> ...	1.0	0.629	adaptation_comment	Cetacea__order
obl<advcl>mark> ...	1.0	0.56	adaptation_comment	Cetacea__order
conj>nmod>det> ...	1.0	0.366	adaptation_comment	Cetacea__order
conj>nmod>case> ...	1.0	0.369	adaptation_comment	Cetacea__order
conj>amod> ...	1.0	0.37	adaptation_comment	Cetacea__order
nmod<obj<conj> ...	1.0	0.301	adaptation_comment	Cetacea__order
obl<advcl>obl> ...	1.0	0.311	adaptation_comment	Cetacea__order
obl<conj>cc> ...	1.0	0.456	adaptation_comment	Cetacea__order
obl<conj>advmod> ...	1.0	0.447	adaptation_comment	Cetacea__order
obl<conj> ...	1.0	0.329	adaptation_comment	Cetacea__order
obl<conj>obl> ...	1.0	0.325	adaptation_comment	Cetacea__order
compound<conj<nsubj> ...	1.0	0.53	adaptation_comment	Cetacea__order
compound<nsubj<cop> ...	1.0	0.483	adaptation_comment	Cetacea__order
compound<nsubj< ...	1.0	0.632	adaptation_comment	Cetacea__order
compound<nsubj<advcl> ...	1.0	0.641	adaptation_comment	Cetacea__order
compound<nsubj<conj> ...	1.0	0.287	adaptation_comment	Cetacea__order
conj>obj> ...	1.0	0.745	adaptation_comment	Cetacea__order
conj>case> ...	1.0	0.532	adaptation_comment	Cetacea__order
compound<nmod>det> ...	1.0	0.371	adaptation_comment	Cetacea__order
compound<nsubj:pass<obl> ...	1.0	0.376	adaptation_comment	Cetacea__order
nmod<conj<nsubj> ...	1.0	0.274	adaptation_comment	Cetacea__order
nmod<conj<obl< ...	1.0	0.425	adaptation_comment	Cetacea__order
nmod<conj<case> ...	1.0	0.351	adaptation_comment	Cetacea__order
nmod<conj<det> ...	1.0	0.42	adaptation_comment	Cetacea__order
nmod<conj<amod> ...	1.0	0.242	adaptation_comment	Cetacea__order
nmod<conj<compound> ...	1.0	0.365	adaptation_comment	Cetacea__order
nmod<conj<acl> ...	1.0	0.584	adaptation_comment	Cetacea__order
nmod<cc> ...	1.0	0.491	adaptation_comment	Cetacea__order
obl<acl<det> ...	1.0	0.395	adaptation_comment	Cetacea__order
acl>obl>det> ...	1.0	0.415	adaptation_comment	Cetacea__order
nmod<nsubj<xcomp> ...	1.0	0.304	adaptation_comment	Cetacea__order
nmod<cop> ...	1.0	0.356	adaptation_comment	Cetacea__order
conj<nsubj< ...	1.0	0.299	adaptation_comment	Cetacea__order
conj<nsubj> ...	1.0	0.528	adaptation_comment	Cetacea__order
conj<obj>conj> ...	1.0	0.263	adaptation_comment	Cetacea__order
conj<obj> ...	1.0	0.452	adaptation_comment	Cetacea__order
conj<obj>amod> ...	1.0	0.361	adaptation_comment	Cetacea__order
conj<nsubj>nmod> ...	1.0	0.393	adaptation_comment	Cetacea__order
conj<nsubj>amod> ...	1.0	0.33	adaptation_comment	Cetacea__order
nmod<nmod>amod> ...	1.0	0.567	adaptation_comment	Cetacea__order
obj<advcl>advmod> ...	1.0	0.423	adaptation_comment	Cetacea__order
obj<advcl>aux:pass> ...	1.0	0.636	adaptation_comment	Cetacea__order
obj<advcl>nsubj:pass> ...	1.0	0.308	adaptation_comment	Cetacea__order
obj<nsubj>compound> ...	1.0	0.502	adaptation_comment	Cetacea__order
obj<conj> ...	1.0	0.391	adaptation_comment	Cetacea__order
obj<conj>cc> ...	1.0	0.473	adaptation_comment	Cetacea__order
conj<conj>nmod> ...	1.0	0.215	adaptation_comment	Cetacea__order
nmod>conj>cc> ...	1.0	0.292	adaptation_comment	Cetacea__order
nmod>conj>advmod> ...	1.0	0.384	adaptation_comment	Cetacea__order
nmod>conj> ...	1.0	0.314	adaptation_comment	Cetacea__order
nmod>conj>obl> ...	1.0	0.454	adaptation_comment	Cetacea__order
nsubj<obj>amod> ...	1.0	0.55	adaptation_comment	Cetacea__order
nsubj<conj>nummod> ...	1.0	0.38	adaptation_comment	Cetacea__order
