s	p	o
Tufted_Capuchin#species	wo:name	Tufted_Capuchin#name
Tufted_Capuchin#species	wo:order	Primate#order
Tufted_Capuchin#species	wo:phylum	Chordate#phylum
Tulip#genus	rdf:type	wo:Genus
Tulip#genus	wo:family	Liliaceae#family
Tulip#genus	rdf:type	wo:Genus
Tulip#genus	wo:adaptation	Flower#adaptation
Tulip#genus	wo:adaptation	Semiochemical#adaptation
Tulip#genus	wo:adaptation	Visual_perception#adaptation
Tulip#genus	wo:class	Monocotyledon#class
Tulip#genus	wo:family	Liliaceae#family
Tulip#genus	wo:kingdom	Plant#kingdom
Tulip#genus	wo:name	Tulip#name
Tulip#genus	wo:order	Liliales#order
Tulip#genus	wo:phylum	Flowering_plant#phylum
Tundra_Swan#species	rdf:type	wo:Species
Tundra_Swan#species	wo:genus	Swan#genus
Tundra_Swan#species	rdf:type	wo:Species
Tundra_Swan#species	wo:adaptation	Altricial#adaptation
Tundra_Swan#species	wo:adaptation	Animal_migration#adaptation
Tundra_Swan#species	wo:adaptation	Courtship_display#adaptation
Tundra_Swan#species	wo:adaptation	Flight#adaptation
Tundra_Swan#species	wo:adaptation	Hearing_sense#adaptation
Tundra_Swan#species	wo:adaptation	Herbivore#adaptation
Tundra_Swan#species	wo:adaptation	Monogamous_pairing_in_animals#adaptation
Tundra_Swan#species	wo:adaptation	Moulting#adaptation
Tundra_Swan#species	wo:adaptation	Oviparity#adaptation
Tundra_Swan#species	wo:adaptation	Parental_investment#adaptation
Tundra_Swan#species	wo:adaptation	Presociality#adaptation
Tundra_Swan#species	wo:adaptation	Semiochemical#adaptation
Tundra_Swan#species	wo:adaptation	Visual_perception#adaptation
Tundra_Swan#species	wo:class	Bird#class
Tundra_Swan#species	wo:ecozone	Indomalaya_ecozone#ecozone
Tundra_Swan#species	wo:ecozone	Palearctic_ecozone#ecozone
Tundra_Swan#species	wo:family	Anatidae#family
Tundra_Swan#species	wo:genus	Swan#genus
Tundra_Swan#species	wo:growsIn	Arable_land#habitat
Tundra_Swan#species	wo:growsIn	Flooded_grasslands_and_savannas#habitat
Tundra_Swan#species	wo:growsIn	Lake#habitat
Tundra_Swan#species	wo:growsIn	River#habitat
Tundra_Swan#species	wo:growsIn	Temperate_grasslands_savannas_and_shrublands#habitat
Tundra_Swan#species	wo:growsIn	Tundra#habitat
Tundra_Swan#species	wo:growsIn	Wetland#habitat
Tundra_Swan#species	wo:kingdom	Animal#kingdom
Tundra_Swan#species	wo:livesIn	Arable_land#habitat
Tundra_Swan#species	wo:livesIn	Flooded_grasslands_and_savannas#habitat
Tundra_Swan#species	wo:livesIn	Lake#habitat
Tundra_Swan#species	wo:livesIn	River#habitat
Tundra_Swan#species	wo:livesIn	Temperate_grasslands_savannas_and_shrublands#habitat
Tundra_Swan#species	wo:livesIn	Tundra#habitat
Tundra_Swan#species	wo:livesIn	Wetland#habitat
Tundra_Swan#species	wo:name	Tundra_Swan#name
Tundra_Swan#species	wo:order	Anseriformes#order
Tundra_Swan#species	wo:phylum	Chordate#phylum
Turtle#order	rdf:type	wo:Order
Turtle#order	wo:class	Reptile#class
Turtle_Dove#species	rdf:type	wo:Species
Turtle_Dove#species	wo:genus	Streptopelia#genus
Turtle_Dove#species	rdf:type	wo:Species
Turtle_Dove#species	wo:adaptation	Allomothering#adaptation
Turtle_Dove#species	wo:adaptation	Altricial#adaptation
Turtle_Dove#species	wo:adaptation	Animal_migration#adaptation
Turtle_Dove#species	wo:adaptation	Courtship_display#adaptation
Turtle_Dove#species	wo:adaptation	Flight#adaptation
Turtle_Dove#species	wo:adaptation	Hearing_sense#adaptation
Turtle_Dove#species	wo:adaptation	Maternal_effect#adaptation
Turtle_Dove#species	wo:adaptation	Monogamous_pairing_in_animals#adaptation
Turtle_Dove#species	wo:adaptation	Oviparity#adaptation
Turtle_Dove#species	wo:adaptation	Presociality#adaptation
Turtle_Dove#species	wo:class	Bird#class
Turtle_Dove#species	wo:ecozone	Afrotropic_ecozone#ecozone
Turtle_Dove#species	wo:ecozone	Palearctic_ecozone#ecozone
Turtle_Dove#species	wo:family	Columbidae#family
Turtle_Dove#species	wo:genus	Streptopelia#genus
Turtle_Dove#species	wo:growsIn	Arable_land#habitat
Turtle_Dove#species	wo:growsIn	Brownfield_land#habitat
Turtle_Dove#species	wo:growsIn	Calcareous_grassland#habitat
Turtle_Dove#species	wo:growsIn	Heath_habitat#habitat
Turtle_Dove#species	wo:growsIn	hedge#habitat
Turtle_Dove#species	wo:growsIn	Meadow#habitat
Turtle_Dove#species	wo:growsIn	Park#habitat
Turtle_Dove#species	wo:growsIn	Temperate_grasslands_savannas_and_shrublands#habitat
Turtle_Dove#species	wo:growsIn	Urban_ecosystem#habitat
Turtle_Dove#species	wo:kingdom	Animal#kingdom
Turtle_Dove#species	wo:livesIn	Arable_land#habitat
Turtle_Dove#species	wo:livesIn	Brownfield_land#habitat
Turtle_Dove#species	wo:livesIn	Calcareous_grassland#habitat
Turtle_Dove#species	wo:livesIn	Heath_habitat#habitat
Turtle_Dove#species	wo:livesIn	hedge#habitat
Turtle_Dove#species	wo:livesIn	Meadow#habitat
Turtle_Dove#species	wo:livesIn	Park#habitat
Turtle_Dove#species	wo:livesIn	Temperate_grasslands_savannas_and_shrublands#habitat
Turtle_Dove#species	wo:livesIn	Urban_ecosystem#habitat
Turtle_Dove#species	wo:name	Turtle_Dove#name
Turtle_Dove#species	wo:order	Columbiformes#order
Turtle_Dove#species	wo:phylum	Chordate#phylum
Turtle#order	rdf:type	wo:Order
Turtle#order	wo:class	Reptile#class
Turtle#order	wo:kingdom	Animal#kingdom
Turtle#order	wo:name	Turtle#name
Turtle#order	wo:phylum	Chordate#phylum
Typical_warbler#genus	wo:adaptation	Flight#adaptation
Typical_warbler#genus	wo:adaptation	Moulting#adaptation
Typical_warbler#genus	wo:adaptation	Oviparity#adaptation
Typical_warbler#genus	wo:class	Bird#class
Typical_warbler#genus	wo:family	Sylviidae#family
Typical_warbler#genus	wo:kingdom	Animal#kingdom
Typical_warbler#genus	wo:name	Typical_warbler#name
Typical_warbler#genus	wo:order	Passerine#order
Typical_warbler#genus	wo:phylum	Chordate#phylum
Typical_warbler#genus	rdf:type	wo:Genus
Typical_warbler#genus	wo:order	Passerine#order
Tyrannosauridae#family	wo:adaptation	Carnivore#adaptation
Tyrannosauridae#family	wo:adaptation	Oviparity#adaptation
Tyrannosauridae#family	wo:adaptation	Predation#adaptation
Tyrannosauridae#family	wo:adaptation	Running#adaptation
Tyrannosauridae#family	wo:adaptation	Scavenger#adaptation
Tyrannosauridae#family	wo:class	Reptile#class
Tyrannosauridae#family	wo:kingdom	Animal#kingdom
Tyrannosauridae#family	wo:name	Tyrannosauridae#name
Tyrannosauridae#family	wo:order	Saurischia#order
Tyrannosauridae#family	wo:phylum	Chordate#phylum
Tyrannosauridae#family	wo:suborder	Theropoda#suborder
Tyrannosauridae#family	wo:superorder	Dinosaur#superorder
Tyrannosauridae#family	rdf:type	wo:Family
Tyrannosauridae#family	wo:suborder	Theropoda#suborder
Tyrannosaurus#genus	rdf:type	wo:Genus
Tyrannosaurus#genus	wo:family	Tyrannosauridae#family
Tyrannosaurus#genus	rdf:type	wo:Genus
Tyrannosaurus#genus	wo:adaptation	Carnivore#adaptation
Tyrannosaurus#genus	wo:adaptation	Oviparity#adaptation
Tyrannosaurus#genus	wo:adaptation	Predation#adaptation
Tyrannosaurus#genus	wo:adaptation	Running#adaptation
Tyrannosaurus#genus	wo:adaptation	Scavenger#adaptation
Tyrannosaurus#genus	wo:class	Reptile#class
Tyrannosaurus#genus	wo:family	Tyrannosauridae#family
Tyrannosaurus#genus	wo:kingdom	Animal#kingdom
Tyrannosaurus#genus	wo:name	Tyrannosaurus#name
Tyrannosaurus#genus	wo:order	Saurischia#order
Tyrannosaurus#genus	wo:phylum	Chordate#phylum
Tyrannosaurus#genus	wo:suborder	Theropoda#suborder
Tyrannosaurus#genus	wo:superorder	Dinosaur#superorder
Tytonidae#family	wo:class	Bird#class
Tytonidae#family	wo:kingdom	Animal#kingdom
Tytonidae#family	wo:name	Tytonidae#name
Tytonidae#family	wo:order	Owl#order
Tytonidae#family	wo:phylum	Chordate#phylum
Ulmus_procera#species	rdf:type	wo:Species
Ulmus_procera#species	wo:order	Urticales#order
Ulmus_procera#species	rdf:type	wo:Species
Ulmus_procera#species	wo:adaptation	Abscission#adaptation
Ulmus_procera#species	wo:adaptation	Flower#adaptation
Ulmus_procera#species	wo:class	Dicotyledon#class
Ulmus_procera#species	wo:ecozone	Palearctic_ecozone#ecozone
Ulmus_procera#species	wo:family	Ulmaceae#family
Ulmus_procera#species	wo:genus	Elm#genus
Ulmus_procera#species	wo:growsIn	Arable_land#habitat
Ulmus_procera#species	wo:growsIn	hedge#habitat
Ulmus_procera#species	wo:growsIn	Park#habitat
Ulmus_procera#species	wo:growsIn	Temperate_grasslands_savannas_and_shrublands#habitat
Ulmus_procera#species	wo:kingdom	Plant#kingdom
Ulmus_procera#species	wo:name	Ulmus_procera#name
Ulmus_procera#species	wo:order	Urticales#order
Ulmus_procera#species	wo:phylum	Flowering_plant#phylum
Uria#genus	rdf:type	wo:Genus
Uria#genus	wo:family	Auk#family
Uria#genus	wo:adaptation	Altricial#adaptation
Uria#genus	wo:adaptation	Carnivore#adaptation
Uria#genus	wo:adaptation	Colony_biology#adaptation
Uria#genus	wo:adaptation	Flight#adaptation
Uria#genus	wo:adaptation	Hearing_sense#adaptation
Uria#genus	wo:adaptation	Oviparity#adaptation
Uria#genus	wo:adaptation	Semiochemical#adaptation
Uria#genus	wo:adaptation	Visual_perception#adaptation
Uria#genus	wo:class	Bird#class
Uria#genus	wo:family	Auk#family
Uria#genus	wo:kingdom	Animal#kingdom
Uria#genus	wo:livesIn	Coast#habitat
Uria#genus	wo:livesIn	Neritic_zone#habitat
Uria#genus	wo:livesIn	Pelagic#habitat
Uria#genus	wo:name	Uria#name
Uria#genus	wo:order	Charadriiformes#order
Uria#genus	wo:phylum	Chordate#phylum
Uroplatus#genus	rdf:type	wo:Genus
Uroplatus#genus	wo:family	Gecko#family
Uroplatus#genus	rdf:type	wo:Genus
Uroplatus#genus	wo:adaptation	Arboreal_locomotion#adaptation
Uroplatus#genus	wo:adaptation	Camouflage#adaptation
Uroplatus#genus	wo:adaptation	Nocturnality#adaptation
Uroplatus#genus	wo:adaptation	Oviparity#adaptation
Uroplatus#genus	wo:adaptation	Predation#adaptation
Uroplatus#genus	wo:class	Reptile#class
Uroplatus#genus	wo:family	Gecko#family
Uroplatus#genus	wo:kingdom	Animal#kingdom
Uroplatus#genus	wo:livesIn	Tropical_and_subtropical_dry_broadleaf_forests#habitat
Uroplatus#genus	wo:livesIn	Tropical_and_subtropical_moist_broadleaf_forests#habitat
Uroplatus#genus	wo:name	Uroplatus#name
Uroplatus#genus	wo:order	Squamata#order
Uroplatus#genus	wo:phylum	Chordate#phylum
Uroplatus#genus	wo:suborder	Lizard#suborder
Ursus_genus#genus	rdf:type	wo:Genus
Ursus_genus#genus	wo:family	Bear#family
Ursus_genus#genus	wo:class	Mammal#class
Ursus_genus#genus	wo:family	Bear#family
Ursus_genus#genus	wo:kingdom	Animal#kingdom
Ursus_genus#genus	wo:name	Ursus_genus#name
Ursus_genus#genus	wo:order	Carnivora#order
Ursus_genus#genus	wo:phylum	Chordate#phylum
Urticales#order	rdf:type	wo:Order
Urticales#order	wo:class	Dicotyledon#class
Urticales#order	rdf:type	wo:Order
Urticales#order	wo:adaptation	Flower#adaptation
Urticales#order	wo:class	Dicotyledon#class
Urticales#order	wo:kingdom	Plant#kingdom
Urticales#order	wo:name	Urticales#name
Urticales#order	wo:phylum	Flowering_plant#phylum
Utahraptor#genus	rdf:type	wo:Genus
Utahraptor#genus	wo:family	Dromaeosauridae#family
Utahraptor#genus	rdf:type	wo:Genus
Utahraptor#genus	wo:adaptation	Carnivore#adaptation
Utahraptor#genus	wo:adaptation	Oviparity#adaptation
Utahraptor#genus	wo:adaptation	Predation#adaptation
Utahraptor#genus	wo:adaptation	Scavenger#adaptation
Utahraptor#genus	wo:class	Reptile#class
Utahraptor#genus	wo:family	Dromaeosauridae#family
Utahraptor#genus	wo:kingdom	Animal#kingdom
Utahraptor#genus	wo:name	Utahraptor#name
Utahraptor#genus	wo:order	Saurischia#order
Utahraptor#genus	wo:phylum	Chordate#phylum
Utahraptor#genus	wo:suborder	Theropoda#suborder
Utahraptor#genus	wo:superorder	Dinosaur#superorder
Vandellia#genus	rdf:type	wo:Genus
Vandellia#genus	wo:adaptation	Aquatic_locomotion#adaptation
Vandellia#genus	wo:adaptation	Haptic_perception#adaptation
Vandellia#genus	wo:adaptation	Hematophagy#adaptation
Vandellia#genus	wo:adaptation	Parasitism#adaptation
Vandellia#genus	wo:adaptation	Semiochemical#adaptation
Vandellia#genus	wo:class	Actinopterygii#class
Vandellia#genus	wo:kingdom	Animal#kingdom
Vandellia#genus	wo:livesIn	River#habitat
Vandellia#genus	wo:name	Vandellia#name
Vandellia#genus	wo:order	Catfish#order
Vandellia#genus	wo:phylum	Chordate#phylum
Vandellia#genus	wo:superclass	Osteichthyes#superclass
Vandellia#genus	rdf:type	wo:Genus
Vandellia#genus	wo:order	Catfish#order
Vanessa_cardui#species	rdf:type	wo:Species
Vanessa_cardui#species	wo:family	Nymphalidae#family
Vanessa_cardui#species	wo:adaptation	Altricial#adaptation
Vanessa_cardui#species	wo:adaptation	Animal_migration#adaptation
Vanessa_cardui#species	wo:adaptation	Camouflage#adaptation
Vanessa_cardui#species	wo:adaptation	Flight#adaptation
Vanessa_cardui#species	wo:adaptation	Herbivore#adaptation
Vanessa_cardui#species	wo:adaptation	Metamorphosis#adaptation
Vanessa_cardui#species	wo:adaptation	Oviparity#adaptation
Vanessa_cardui#species	wo:adaptation	Polygyny#adaptation
Vanessa_cardui#species	wo:adaptation	Semiochemical#adaptation
Vanessa_cardui#species	wo:adaptation	Visual_perception#adaptation
Vanessa_cardui#species	wo:class	Insect#class
Vanessa_cardui#species	wo:ecozone	Afrotropic_ecozone#ecozone
Vanessa_cardui#species	wo:ecozone	Antarctic_ecozone#ecozone
Vanessa_cardui#species	wo:ecozone	Australasia_ecozone#ecozone
Vanessa_cardui#species	wo:ecozone	Indomalaya_ecozone#ecozone
Vanessa_cardui#species	wo:ecozone	Nearctic_ecozone#ecozone
Vanessa_cardui#species	wo:ecozone	Oceania_ecozone#ecozone
Vanessa_cardui#species	wo:ecozone	Palearctic_ecozone#ecozone
Vanessa_cardui#species	wo:family	Nymphalidae#family
Vanessa_cardui#species	wo:genus	Vanessa_butterfly#genus
Vanessa_cardui#species	wo:growsIn	Ancient_woodland#habitat
Vanessa_cardui#species	wo:growsIn	Arable_land#habitat
Vanessa_cardui#species	wo:growsIn	Bog#habitat
Vanessa_cardui#species	wo:growsIn	Brownfield_land#habitat
Vanessa_cardui#species	wo:growsIn	Calcareous_grassland#habitat
Vanessa_cardui#species	wo:growsIn	Coast#habitat
Vanessa_cardui#species	wo:growsIn	Deserts_and_xeric_shrublands#habitat
Vanessa_cardui#species	wo:growsIn	English_Lowlands_beech_forests#habitat
Vanessa_cardui#species	wo:growsIn	Flooded_grasslands_and_savannas#habitat
Vanessa_cardui#species	wo:growsIn	Heath_habitat#habitat
Vanessa_cardui#species	wo:growsIn	hedge#habitat
Vanessa_cardui#species	wo:growsIn	Meadow#habitat
Vanessa_cardui#species	wo:growsIn	Mediterranean_forests_woodlands_and_scrub#habitat
Vanessa_cardui#species	wo:growsIn	Montane_grasslands_and_shrublands#habitat
Vanessa_cardui#species	wo:growsIn	Moorland#habitat
Vanessa_cardui#species	wo:growsIn	Mountain#habitat
Vanessa_cardui#species	wo:growsIn	Park#habitat
Vanessa_cardui#species	wo:growsIn	Swamp#habitat
Vanessa_cardui#species	wo:growsIn	Taiga#habitat
Vanessa_cardui#species	wo:growsIn	Temperate_broadleaf_and_mixed_forests#habitat
Vanessa_cardui#species	wo:growsIn	Temperate_coniferous_forest#habitat
Vanessa_cardui#species	wo:growsIn	Temperate_grasslands_savannas_and_shrublands#habitat
Vanessa_cardui#species	wo:growsIn	Tropical_and_subtropical_coniferous_forests#habitat
Vanessa_cardui#species	wo:growsIn	Tropical_and_subtropical_dry_broadleaf_forests#habitat
Vanessa_cardui#species	wo:growsIn	Tropical_and_subtropical_grasslands_savannas_and_shrublands#habitat
Vanessa_cardui#species	wo:growsIn	Tropical_and_subtropical_moist_broadleaf_forests#habitat
Vanessa_cardui#species	wo:growsIn	Tundra#habitat
Vanessa_cardui#species	wo:growsIn	Urban_ecosystem#habitat
Vanessa_cardui#species	wo:kingdom	Animal#kingdom
Vanessa_cardui#species	wo:livesIn	Ancient_woodland#habitat
Vanessa_cardui#species	wo:livesIn	Arable_land#habitat
Vanessa_cardui#species	wo:livesIn	Bog#habitat
Vanessa_cardui#species	wo:livesIn	Brownfield_land#habitat
Vanessa_cardui#species	wo:livesIn	Calcareous_grassland#habitat
Vanessa_cardui#species	wo:livesIn	Coast#habitat
Vanessa_cardui#species	wo:livesIn	Deserts_and_xeric_shrublands#habitat
Vanessa_cardui#species	wo:livesIn	English_Lowlands_beech_forests#habitat
Vanessa_cardui#species	wo:livesIn	Flooded_grasslands_and_savannas#habitat
Vanessa_cardui#species	wo:livesIn	Heath_habitat#habitat
Vanessa_cardui#species	wo:livesIn	hedge#habitat
Vanessa_cardui#species	wo:livesIn	Marsh#habitat
Vanessa_cardui#species	wo:livesIn	Meadow#habitat
Vanessa_cardui#species	wo:livesIn	Mediterranean_forests_woodlands_and_scrub#habitat
Vanessa_cardui#species	wo:livesIn	Montane_grasslands_and_shrublands#habitat
Vanessa_cardui#species	wo:livesIn	Moorland#habitat
Vanessa_cardui#species	wo:livesIn	Mountain#habitat
Vanessa_cardui#species	wo:livesIn	Park#habitat
Vanessa_cardui#species	wo:livesIn	Swamp#habitat
Vanessa_cardui#species	wo:livesIn	Taiga#habitat
Vanessa_cardui#species	wo:livesIn	Temperate_broadleaf_and_mixed_forests#habitat
Vanessa_cardui#species	wo:livesIn	Temperate_coniferous_forest#habitat
Vanessa_cardui#species	wo:livesIn	Temperate_grasslands_savannas_and_shrublands#habitat
Vanessa_cardui#species	wo:livesIn	Tropical_and_subtropical_coniferous_forests#habitat
Vanessa_cardui#species	wo:livesIn	Tropical_and_subtropical_dry_broadleaf_forests#habitat
Vanessa_cardui#species	wo:livesIn	Tropical_and_subtropical_grasslands_savannas_and_shrublands#habitat
Vanessa_cardui#species	wo:livesIn	Tropical_and_subtropical_moist_broadleaf_forests#habitat
Vanessa_cardui#species	wo:livesIn	Tundra#habitat
Vanessa_cardui#species	wo:livesIn	Urban_ecosystem#habitat
Vanessa_cardui#species	wo:name	Vanessa_cardui#name
Vanessa_cardui#species	wo:order	Lepidoptera#order
Vanessa_cardui#species	wo:phylum	Arthropod#phylum
Velociraptor#genus	rdf:type	wo:Genus
Velociraptor#genus	wo:family	Dromaeosauridae#family
Velociraptor#genus	rdf:type	wo:Genus
Velociraptor#genus	wo:adaptation	Carnivore#adaptation
Velociraptor#genus	wo:adaptation	Moulting#adaptation
Velociraptor#genus	wo:adaptation	Oviparity#adaptation
Velociraptor#genus	wo:adaptation	Predation#adaptation
Velociraptor#genus	wo:adaptation	Running#adaptation
Velociraptor#genus	wo:adaptation	Scavenger#adaptation
Velociraptor#genus	wo:class	Reptile#class
Velociraptor#genus	wo:family	Dromaeosauridae#family
Velociraptor#genus	wo:kingdom	Animal#kingdom
Velociraptor#genus	wo:name	Velociraptor#name
Velociraptor#genus	wo:order	Saurischia#order
Velociraptor#genus	wo:phylum	Chordate#phylum
Velociraptor#genus	wo:suborder	Theropoda#suborder
Velociraptor#genus	wo:superorder	Dinosaur#superorder
Venus_Flytrap#species	rdf:type	wo:Species
Venus_Flytrap#species	wo:family	Droseraceae#family
Venus_Flytrap#species	rdf:type	wo:Species
Venus_Flytrap#species	wo:adaptation	Carnivore#adaptation
Venus_Flytrap#species	wo:adaptation	Fire_ecology#adaptation
Venus_Flytrap#species	wo:adaptation	Flower#adaptation
Venus_Flytrap#species	wo:adaptation	Halotolerance#adaptation
Venus_Flytrap#species	wo:adaptation	Predator_trap#adaptation
Venus_Flytrap#species	wo:class	Dicotyledon#class
Venus_Flytrap#species	wo:ecozone	Nearctic_ecozone#ecozone
Venus_Flytrap#species	wo:family	Droseraceae#family
Venus_Flytrap#species	wo:growsIn	Bog#habitat
Venus_Flytrap#species	wo:growsIn	Flooded_grasslands_and_savannas#habitat
Venus_Flytrap#species	wo:kingdom	Plant#kingdom
Venus_Flytrap#species	wo:name	Venus_Flytrap#name
Venus_Flytrap#species	wo:order	Nepenthales#order
Venus_Flytrap#species	wo:phylum	Flowering_plant#phylum
Verreauxs_Sifaka#species	rdf:type	wo:Species
Verreauxs_Sifaka#species	wo:genus	Sifaka#genus
Verreauxs_Sifaka#species	rdf:type	wo:Species
Verreauxs_Sifaka#species	wo:adaptation	Altricial#adaptation
Verreauxs_Sifaka#species	wo:adaptation	Arboreal_locomotion#adaptation
Verreauxs_Sifaka#species	wo:adaptation	Dominance_hierarchy#adaptation
Verreauxs_Sifaka#species	wo:adaptation	Haptic_perception#adaptation
Verreauxs_Sifaka#species	wo:adaptation	Herbivore#adaptation
Verreauxs_Sifaka#species	wo:adaptation	Jumping#adaptation
Verreauxs_Sifaka#species	wo:adaptation	Polygyny#adaptation
Verreauxs_Sifaka#species	wo:adaptation	Presociality#adaptation
Verreauxs_Sifaka#species	wo:adaptation	Seed_dispersal#adaptation
Verreauxs_Sifaka#species	wo:adaptation	Semiochemical#adaptation
Verreauxs_Sifaka#species	wo:adaptation	Territory_animal#adaptation
Verreauxs_Sifaka#species	wo:adaptation	Visual_perception#adaptation
Verreauxs_Sifaka#species	wo:adaptation	Vivipary#adaptation
Verreauxs_Sifaka#species	wo:class	Mammal#class
Verreauxs_Sifaka#species	wo:ecozone	Afrotropic_ecozone#ecozone
Verreauxs_Sifaka#species	wo:family	Indriidae#family
Verreauxs_Sifaka#species	wo:genus	Sifaka#genus
Verreauxs_Sifaka#species	wo:growsIn	Tropical_and_subtropical_dry_broadleaf_forests#habitat
Verreauxs_Sifaka#species	wo:growsIn	Tropical_and_subtropical_moist_broadleaf_forests#habitat
Verreauxs_Sifaka#species	wo:infraorder	Lemur#infraorder
Verreauxs_Sifaka#species	wo:kingdom	Animal#kingdom
Verreauxs_Sifaka#species	wo:livesIn	Tropical_and_subtropical_dry_broadleaf_forests#habitat
Verreauxs_Sifaka#species	wo:livesIn	Tropical_and_subtropical_moist_broadleaf_forests#habitat
Verreauxs_Sifaka#species	wo:name	Verreauxs_Sifaka#name
Verreauxs_Sifaka#species	wo:order	Primate#order
Verreauxs_Sifaka#species	wo:phylum	Chordate#phylum
Vesper_bat#family	wo:adaptation	Flight#adaptation
Vesper_bat#family	wo:adaptation	Maternal_effect#adaptation
Vesper_bat#family	wo:adaptation	Nocturnality#adaptation
Vesper_bat#family	wo:adaptation	Ultrasound#adaptation
Vesper_bat#family	wo:adaptation	Vivipary#adaptation
Vesper_bat#family	wo:class	Mammal#class
Vesper_bat#family	wo:kingdom	Animal#kingdom
Vesper_bat#family	wo:name	Vesper_bat#name
Vesper_bat#family	wo:order	Bat#order
Vesper_bat#family	wo:phylum	Chordate#phylum
Vesper_bat#family	rdf:type	wo:Family
Vesper_bat#family	wo:order	Bat#order
Vespidae#family	wo:class	Insect#class
Vespidae#family	wo:kingdom	Animal#kingdom
Vespidae#family	wo:name	Vespidae#name
Vespidae#family	wo:order	Hymenoptera#order
Vespidae#family	wo:phylum	Arthropod#phylum
Vespidae#family	rdf:type	wo:Family
Vespidae#family	wo:order	Hymenoptera#order
Vespula_vulgaris#species	rdf:type	wo:Species
Vespula_vulgaris#species	wo:family	Vespidae#family
Vespula_vulgaris#species	rdf:type	wo:Species
Vespula_vulgaris#species	wo:adaptation	Altricial#adaptation
Vespula_vulgaris#species	wo:adaptation	Antipredator_adaptation#adaptation
Vespula_vulgaris#species	wo:adaptation	Aposematism#adaptation
Vespula_vulgaris#species	wo:adaptation	Colony_biology#adaptation
Vespula_vulgaris#species	wo:adaptation	Eusociality#adaptation
Vespula_vulgaris#species	wo:adaptation	Flight#adaptation
Vespula_vulgaris#species	wo:adaptation	Hearing_sense#adaptation
Vespula_vulgaris#species	wo:adaptation	Hibernation#adaptation
Vespula_vulgaris#species	wo:adaptation	Metamorphosis#adaptation
Vespula_vulgaris#species	wo:adaptation	Oviparity#adaptation
Vespula_vulgaris#species	wo:adaptation	Predation#adaptation
Vespula_vulgaris#species	wo:adaptation	Semiochemical#adaptation
Vespula_vulgaris#species	wo:adaptation	Venom#adaptation
Vespula_vulgaris#species	wo:adaptation	Visual_perception#adaptation
Vespula_vulgaris#species	wo:class	Insect#class
Vespula_vulgaris#species	wo:ecozone	Australasia_ecozone#ecozone
Vespula_vulgaris#species	wo:ecozone	Nearctic_ecozone#ecozone
Vespula_vulgaris#species	wo:ecozone	Palearctic_ecozone#ecozone
Vespula_vulgaris#species	wo:family	Vespidae#family
Vespula_vulgaris#species	wo:genus	Vespula#genus
Vespula_vulgaris#species	wo:growsIn	Arable_land#habitat
Vespula_vulgaris#species	wo:growsIn	Brownfield_land#habitat
Vespula_vulgaris#species	wo:growsIn	Park#habitat
Vespula_vulgaris#species	wo:growsIn	Temperate_broadleaf_and_mixed_forests#habitat
Vespula_vulgaris#species	wo:growsIn	Temperate_coniferous_forest#habitat
Vespula_vulgaris#species	wo:growsIn	Temperate_grasslands_savannas_and_shrublands#habitat
Vespula_vulgaris#species	wo:growsIn	Urban_ecosystem#habitat
Vespula_vulgaris#species	wo:kingdom	Animal#kingdom
Vespula_vulgaris#species	wo:livesIn	Arable_land#habitat
Vespula_vulgaris#species	wo:livesIn	Brownfield_land#habitat
Vespula_vulgaris#species	wo:livesIn	Park#habitat
Vespula_vulgaris#species	wo:livesIn	Temperate_broadleaf_and_mixed_forests#habitat
Vespula_vulgaris#species	wo:livesIn	Temperate_coniferous_forest#habitat
Vespula_vulgaris#species	wo:livesIn	Temperate_grasslands_savannas_and_shrublands#habitat
Vespula_vulgaris#species	wo:livesIn	Urban_ecosystem#habitat
Vespula_vulgaris#species	wo:name	Vespula_vulgaris#name
Vespula_vulgaris#species	wo:order	Hymenoptera#order
Vespula_vulgaris#species	wo:phylum	Arthropod#phylum
Violales#order	rdf:type	wo:Order
Violales#order	wo:class	Dicotyledon#class
Violales#order	rdf:type	wo:Order
Violales#order	wo:adaptation	Flower#adaptation
Violales#order	wo:class	Dicotyledon#class
Violales#order	wo:kingdom	Plant#kingdom
Violales#order	wo:name	Violales#name
Violales#order	wo:phylum	Flowering_plant#phylum
Viola_plant#genus	rdf:type	wo:Genus
Viola_plant#genus	wo:adaptation	Flower#adaptation
Viola_plant#genus	wo:adaptation	Visual_perception#adaptation
Viola_plant#genus	wo:class	Dicotyledon#class
Viola_plant#genus	wo:family	Violaceae#family
Viola_plant#genus	wo:growsIn	Ancient_woodland#habitat
Viola_plant#genus	wo:growsIn	Arable_land#habitat
Viola_plant#genus	wo:growsIn	Brownfield_land#habitat
Viola_plant#genus	wo:growsIn	Calcareous_grassland#habitat
Viola_plant#genus	wo:growsIn	English_Lowlands_beech_forests#habitat
Viola_plant#genus	wo:growsIn	Heath_habitat#habitat
Viola_plant#genus	wo:growsIn	Meadow#habitat
Viola_plant#genus	wo:growsIn	Montane_grasslands_and_shrublands#habitat
Viola_plant#genus	wo:growsIn	Moorland#habitat
Viola_plant#genus	wo:growsIn	Park#habitat
Viola_plant#genus	wo:growsIn	Temperate_broadleaf_and_mixed_forests#habitat
Viola_plant#genus	wo:growsIn	Temperate_grasslands_savannas_and_shrublands#habitat
