s	p	o
Tiger#species	wo:growsIn	Marsh#habitat
Vanessa_cardui#species	rdf:type	wo:Species
Vanessa_cardui#species	wo:growsIn	Marsh#habitat
Vipera_berus#species	rdf:type	wo:Species
Vipera_berus#species	wo:growsIn	Marsh#habitat
Water_Buffalo#species	rdf:type	wo:Species
Water_Buffalo#species	wo:growsIn	Marsh#habitat
Water_Rail#species	rdf:type	wo:Species
Water_Rail#species	wo:growsIn	Marsh#habitat
Western_Marsh_Harrier#species	rdf:type	wo:Species
Western_Marsh_Harrier#species	wo:growsIn	Marsh#habitat
Wild_Turkey#species	rdf:type	wo:Species
Wild_Turkey#species	wo:growsIn	Marsh#habitat
Winter_Wren#species	rdf:type	wo:Species
Winter_Wren#species	wo:growsIn	Marsh#habitat
Wood_Stork#species	rdf:type	wo:Species
Wood_Stork#species	wo:growsIn	Marsh#habitat
Proboscidea#order	rdf:type	wo:Order
Chordate#phylum	rdf:type	wo:Phylum
African_Bush_Elephant#name	rdf:type	wo:TaxonName
Abscission#adaptation	rdf:type	wo:SurvivalStrategy
Allomothering#adaptation	rdf:type	wo:LifeCycle
Altricial#adaptation	rdf:type	wo:ReproductionStrategy
Ambush_predator#adaptation	rdf:type	wo:PredationStrategy
Animal_culture#adaptation	rdf:type	wo:AnimalIntelligence
Animal_language#adaptation	rdf:type	wo:AnimalIntelligence
Antipredator_adaptation#adaptation	rdf:type	wo:SurvivalStrategy
Aposematism#adaptation	rdf:type	wo:CommunicationAdaptation
Aquatic_locomotion#adaptation	rdf:type	wo:LocomotionAdaptation
Arboreal_locomotion#adaptation	rdf:type	wo:BehaviouralPattern
Asexual_reproduction#adaptation	rdf:type	wo:ReproductionStrategy
Bioluminescence#adaptation	rdf:type	wo:CommunicationAdaptation
Camouflage#adaptation	rdf:type	wo:MorphologyAdaptation
Carnivore#adaptation	rdf:type	wo:FeedingHabit
Climbing#adaptation	rdf:type	wo:LocomotionAdaptation
Colony_biology#adaptation	rdf:type	wo:SocialBehaviour
Courtship_display#adaptation	rdf:type	wo:LifeCycle
Desiccation_tolerance#adaptation	rdf:type	wo:ExtremesAdaptation
Detritivore#adaptation	rdf:type	wo:EcosystemRole
Epiphyte#adaptation	rdf:type	wo:BehaviouralPattern
Estivation#adaptation	rdf:type	wo:SurvivalStrategy
Eusociality#adaptation	rdf:type	wo:SocialBehaviour
Fire_ecology#adaptation	rdf:type	wo:ExtremesAdaptation
Flight#adaptation	rdf:type	wo:LocomotionAdaptation
Flower#adaptation	rdf:type	wo:ReproductionStrategy
Fossorial#adaptation	rdf:type	wo:BehaviouralPattern
Gliding_flight#adaptation	rdf:type	wo:LocomotionAdaptation
Halotolerance#adaptation	rdf:type	wo:ExtremesAdaptation
Haptic_perception#adaptation	rdf:type	wo:CommunicationAdaptation
Hematophagy#adaptation	rdf:type	wo:FeedingHabit
Hermaphrodite#adaptation	rdf:type	wo:ReproductionStrategy
Hibernation#adaptation	rdf:type	wo:SurvivalStrategy
High_altitude#adaptation	rdf:type	wo:ExtremesAdaptation
Hoarding_animal_behaviour#adaptation	rdf:type	wo:SurvivalStrategy
Jumping#adaptation	rdf:type	wo:LocomotionAdaptation
Kleptoparasitism#adaptation	rdf:type	wo:FeedingHabit
Metamorphosis#adaptation	rdf:type	wo:LifeCycle
Mimicry#adaptation	rdf:type	wo:CommunicationAdaptation
Monogamous_pairing_in_animals#adaptation	rdf:type	wo:ReproductionStrategy
Moulting#adaptation	rdf:type	wo:LifeCycle
Neoteny#adaptation	rdf:type	wo:MorphologyAdaptation
Nocturnality#adaptation	rdf:type	wo:BehaviouralPattern
Oviparity#adaptation	rdf:type	wo:ReproductionStrategy
Ovoviviparity#adaptation	rdf:type	wo:ReproductionStrategy
Pack_hunter#adaptation	rdf:type	wo:PredationStrategy
Parasitism#adaptation	rdf:type	wo:BehaviouralPattern
Parental_investment#adaptation	rdf:type	wo:LifeCycle
Parthenogenesis#adaptation	rdf:type	wo:ReproductionStrategy
Poison#adaptation	rdf:type	wo:SurvivalStrategy
Pollinator#adaptation	rdf:type	wo:EcosystemRole
Polygynandry#adaptation	rdf:type	wo:ReproductionStrategy
Polymorphism_biology#adaptation	rdf:type	wo:MorphologyAdaptation
Predation#adaptation	rdf:type	wo:PredationStrategy
Predator_trap#adaptation	rdf:type	wo:PredationStrategy
Psychrophile#adaptation	rdf:type	wo:ExtremesAdaptation
Running#adaptation	rdf:type	wo:LocomotionAdaptation
Scavenger#adaptation	rdf:type	wo:FeedingHabit
Semelparity_and_iteroparity#adaptation	rdf:type	wo:ReproductionStrategy
Sessility_zoology#adaptation	rdf:type	wo:BehaviouralPattern
Spawn_biology#adaptation	rdf:type	wo:ReproductionStrategy
Swarm#adaptation	rdf:type	wo:BehaviouralPattern
Symbiosis#adaptation	rdf:type	wo:BehaviouralPattern
Territory_animal#adaptation	rdf:type	wo:SocialBehaviour
Torpor#adaptation	rdf:type	wo:SurvivalStrategy
Troglobite#adaptation	rdf:type	wo:BehaviouralPattern
Ultrasound#adaptation	rdf:type	wo:CommunicationAdaptation
Venom#adaptation	rdf:type	wo:PredationStrategy
Actinopterygii#class	rdf:type	wo:Class
Actinopterygii#class	wo:order	Anglerfish#order
Actinopterygii#class	wo:order	Beloniformes#order
Actinopterygii#class	wo:order	Catfish#order
Actinopterygii#class	wo:order	Characiformes#order
Actinopterygii#class	wo:order	Clupeiformes#order
Actinopterygii#class	wo:order	Gasterosteiformes#order
Actinopterygii#class	wo:order	Osteoglossiformes#order
Actinopterygii#class	wo:order	Perciformes#order
Actinopterygii#class	wo:order	Salmoniformes#order
Actinopterygii#class	wo:order	Syngnathiformes#order
Actinopterygii#name	rdf:type	wo:TaxonName
Amphibian#class	rdf:type	wo:Class
Amphibian#class	wo:order	Caecilian#order
Amphibian#class	wo:order	Frog#order
Amphibian#class	wo:order	Salamander#order
Amphibian#class	wo:order	Temnospondyli#order
Amphibian#name	rdf:type	wo:TaxonName
