concept	lang	token	priority	head_lemma	parts
Corvidae#family	en	Corvids	2	Corvid PROPN	
Corvidae#family	en	Crow family	2	family NOUN	Crow ADJ amod> family NOUN
Corvidae#family	en	Crows and ravens	2	Crow NOUN	and CCONJ cc> raven NOUN | raven NOUN conj> Crow NOUN
Crane_bird#family	en	Gruidae	0	Gruidae PROPN	
Crane_bird#family	en	Cranes	0	Crane PROPN	
Crane_bird#family	en	Gruidae	1	Gruidae PROPN	
Crane_bird#family	en	Cranes	2	Crane PROPN	
Cricetidae#family	en	Cricetidae	0	Cricetida NOUN	
Cricetidae#family	en	New World rats and mice	0	rat NOUN	New PROPN compound> world PROPN | world PROPN compound> rat NOUN | and CCONJ cc> mouse NOUN | mouse NOUN conj> rat NOUN
Cricetidae#family	en	Cricetidae	1	Cricetida NOUN	
Cricetidae#family	en	New World rats and mice	2	rat NOUN	New PROPN compound> world PROPN | world PROPN compound> rat NOUN | and CCONJ cc> mouse NOUN | mouse NOUN conj> rat NOUN
Crocodile#family	en	Crocodylidae	0	Crocodylida NOUN	
Crocodile#family	en	Crocodile family	0	family NOUN	Crocodile NOUN compound> family NOUN
Crocodile#family	en	Crocodylidae	1	Crocodylida NOUN	
Crocodile#family	en	Crocodile family	2	family NOUN	Crocodile NOUN compound> family NOUN
Cupressaceae#family	en	Cupressaceae	0	Cupressacea NOUN	
Cyperaceae#family	en	Cyperaceae	0	Cyperacea NOUN	
Dasypodidae#family	en	Dasypodidae	0	Dasypodidae NOUN	
Dasyuridae#family	en	Dasyuridae	0	Dasyuridae NOUN	
Dasyuridae#family	en	Dasyurid marsupials	0	marsupial NOUN	Dasyurid ADJ amod> marsupial NOUN
Dasyuridae#family	en	Dasyuridae	1	Dasyuridae NOUN	
Dasyuridae#family	en	Dasyurid marsupials	2	marsupial NOUN	Dasyurid ADJ amod> marsupial NOUN
Deer#family	en	Cervidae	0	Cervida NOUN	
Deer#family	en	Deer	0	deer NOUN	
Deer#family	en	Cervidae	1	Cervida NOUN	
Deer#family	en	Deer	2	deer NOUN	
Diplodocid#family	en	Diplodocidae	0	Diplodocida NOUN	
Diplodocid#family	en	Diplodocid dinosaurs	0	dinosaur NOUN	Diplodocid ADJ amod> dinosaur NOUN
Diplodocid#family	en	Diplodocidae	1	Diplodocida NOUN	
Diplodocid#family	en	Diplodocid dinosaurs	2	dinosaur NOUN	Diplodocid ADJ amod> dinosaur NOUN
Dormouse#family	en	Myoxidae	0	Myoxidae NOUN	
Dormouse#family	en	Dormice	0	Dormice NOUN	
Dormouse#family	en	Myoxidae	1	Myoxidae NOUN	
Dormouse#family	en	Dormice	2	Dormice NOUN	
Dromaeosauridae#family	en	Dromaeosauridae	0	Dromaeosaurida NOUN	
Dromaeosauridae#family	en	Dromaeosaurs	0	Dromaeosaur NOUN	
Dromaeosauridae#family	en	Dromaeosauridae	1	Dromaeosaurida NOUN	
Dromaeosauridae#family	en	Dromaeosaurs	2	Dromaeosaur NOUN	
Dromaeosauridae#family	en	Raptors	2	Raptor NOUN	
Dromaeosauridae#family	en	running lizard	2	lizard NOUN	running NOUN compound> lizard NOUN
Droseraceae#family	en	Droseraceae	0	Droseracea NOUN	
Droseraceae#family	en	Sundew family	0	family NOUN	Sundew PROPN compound> family NOUN
Droseraceae#family	en	Droseraceae	1	Droseracea NOUN	
Droseraceae#family	en	Sundew family	2	family NOUN	Sundew PROPN compound> family NOUN
Dugongidae#family	en	Dugongidae	0	Dugongidae PROPN	
Dytiscidae#family	en	Dytiscidae	0	Dytiscidae NOUN	
Eared_seal#family	en	Otariidae	0	Otariidae NOUN	
Eared_seal#family	en	Fur seals and sea lions	0	seal NOUN	fur NOUN compound> seal NOUN | and CCONJ cc> lion NOUN | sea NOUN compound> lion NOUN | lion NOUN conj> seal NOUN
Eared_seal#family	en	Otariidae	1	Otariidae NOUN	
Eared_seal#family	en	Eared seals	2	seals NOUN	Eared ADJ amod> seals NOUN
Eared_seal#family	en	Fur seals and sea lions	2	seal NOUN	fur NOUN compound> seal NOUN | and CCONJ cc> lion NOUN | sea NOUN compound> lion NOUN | lion NOUN conj> seal NOUN
Eared_seal#family	en	Otariids	2	Otariid NOUN	
Earless_seal#family	en	Phocidae	0	Phocida NOUN	
Earless_seal#family	en	True seals	0	seals NOUN	true ADJ amod> seals NOUN
Earless_seal#family	en	Phocidae	1	Phocida NOUN	
Earless_seal#family	en	Crawling seals	2	seals NOUN	crawling NOUN compound> seals NOUN
Earless_seal#family	en	True seals	2	seals NOUN	true ADJ amod> seals NOUN
Elapidae#family	en	Elapidae	0	Elapidae PROPN	
Elapidae#family	en	Cobras, kraits and coral snakes	0	Cobras NOUN	, PUNCT punct> krait NOUN | krait NOUN conj> Cobras NOUN | and CCONJ cc> snake NOUN | coral ADJ amod> snake NOUN | snake NOUN conj> Cobras NOUN
Elapidae#family	en	Elapidae	1	Elapidae PROPN	
Elapidae#family	en	Cobras, kraits and coral snakes	2	Cobras NOUN	, PUNCT punct> krait NOUN | krait NOUN conj> Cobras NOUN | and CCONJ cc> snake NOUN | coral ADJ amod> snake NOUN | snake NOUN conj> Cobras NOUN
Elephant_shrew#family	en	Macroscelididae	0	Macroscelididae NOUN	
Elephant_shrew#family	en	Elephant shrews	0	shrews NOUN	elephant PROPN compound> shrews NOUN
Elephant_shrew#family	en	Macroscelididae	1	Macroscelididae NOUN	
Elephant_shrew#family	en	Elephant shrews	2	shrews NOUN	elephant PROPN compound> shrews NOUN
Elephant_shrew#family	en	Jumping shrews	2	shrews NOUN	jumping NOUN compound> shrews NOUN
Elephant_shrew#family	en	Sengis	2	Sengis PROPN	
Emberizidae#family	en	Emberizidae	0	Emberizidae NOUN	
Equidae#family	en	Equidae	0	Equidae PROPN	
Erinaceidae#family	en	Erinaceidae	0	Erinaceidae PROPN	
Erinaceidae#family	en	Hedgehogs and moonrats	0	Hedgehog NOUN	and CCONJ cc> moonrat NOUN | moonrat NOUN conj> Hedgehog NOUN
Erinaceidae#family	en	Erinaceidae	1	Erinaceidae PROPN	
Erinaceidae#family	en	Gymnures	2	Gymnure NOUN	
Erinaceidae#family	en	Hedgehogs and moonrats	2	Hedgehog NOUN	and CCONJ cc> moonrat NOUN | moonrat NOUN conj> Hedgehog NOUN
Estrildidae#family	en	Estrildidae	0	Estrildidae PROPN	
Eupleridae#family	en	Eupleridae	0	Eupleridae PROPN	
Eupleridae#family	en	Eupleridae	1	Eupleridae PROPN	
Eupleridae#family	en	Malagasy carnivores	2	carnivore NOUN	Malagasy ADJ amod> carnivore NOUN
Fagaceae#family	en	Fagaceae	0	Fagacea NOUN	
Fagaceae#family	en	Beeches and oaks	0	Beech NOUN	and CCONJ cc> oak NOUN | oak NOUN conj> Beech NOUN
Fagaceae#family	en	Fagaceae	1	Fagacea NOUN	
Fagaceae#family	en	Beeches and oaks	2	Beech NOUN	and CCONJ cc> oak NOUN | oak NOUN conj> Beech NOUN
Fagaceae#family	en	Beech family	2	family NOUN	Beech PROPN compound> family NOUN
Falconidae#family	en	Falconidae	0	Falconida NOUN	
Felidae#family	en	Felidae	0	Felidae NOUN	
Felidae#family	en	Cats	0	cat NOUN	
Felidae#family	en	Felidae	1	Felidae NOUN	
Felidae#family	en	Cats	2	cat NOUN	
Felidae#family	en	Felids	2	Felid NOUN	
Felidae#family	en	Felines	2	Felines PROPN	
Finch#family	en	Fringillidae	0	Fringillidae PROPN	
Finch#family	en	Finches	0	finch NOUN	
Finch#family	en	Fringillidae	1	Fringillidae PROPN	
Finch#family	en	Finches	2	finch NOUN	
Finch#family	en	True finches	2	finches NOUN	true ADJ amod> finches NOUN
Firefly#family	en	Lampyridae	0	Lampyrida NOUN	
Firefly#family	en	Fireflies	0	Firefly PROPN	
Firefly#family	en	Lampyridae	1	Lampyrida NOUN	
Firefly#family	en	Fireflies	2	Firefly PROPN	
Firefly#family	en	Glow-worms	2	worm NOUN	glow NOUN compound> worm NOUN | - PUNCT punct> worm NOUN
Firefly#family	en	Lightning bugs	2	bug NOUN	Lightning NOUN compound> bug NOUN
Gavialidae#family	en	Gavialidae	0	Gavialidae NOUN	
Gecko#family	en	Gekkonidae	0	Gekkonidae NOUN	
Gecko#family	en	Geckos	0	Geckos PROPN	
Gecko#family	en	Gekkonidae	1	Gekkonidae NOUN	
Gecko#family	en	Geckos	2	Geckos PROPN	
Giant_salamander#family	en	Cryptobranchidae	0	Cryptobranchida NOUN	
Gibbon#family	en	Hylobatidae	0	Hylobatidae NOUN	
Gibbon#family	en	Gibbons	0	Gibbons PROPN	
Gibbon#family	en	Hylobatidae	1	Hylobatidae NOUN	
Gibbon#family	en	Gibbons	2	Gibbons PROPN	
Gibbon#family	en	Hylobatidae	2	Hylobatidae NOUN	
Gibbon#family	en	Lesser apes	2	ap PROPN	lesser PROPN compound> ap PROPN
Giraffidae#family	en	Giraffidae	0	Giraffidae PROPN	
Giraffidae#family	en	Giraffes and okapis	0	giraffe NOUN	and CCONJ cc> okapis NOUN | okapis NOUN conj> giraffe NOUN
Giraffidae#family	en	Giraffidae	1	Giraffidae PROPN	
Giraffidae#family	en	Giraffes and okapis	2	giraffe NOUN	and CCONJ cc> okapis NOUN | okapis NOUN conj> giraffe NOUN
Giraffidae#family	en	Giraffids	2	Giraffid NOUN	
Grebe#family	en	Podicipedidae	0	Podicipedida NOUN	
Grebe#family	en	Grebes	0	Grebes NOUN	
Grebe#family	en	Podicipedidae	1	Podicipedida NOUN	
Grebe#family	en	Grebes	2	Grebes NOUN	
Gull#family	en	Laridae	0	Larida NOUN	
Gull#family	en	Gulls and kittiwakes	0	Gull NOUN	and CCONJ cc> kittiwake NOUN | kittiwake NOUN conj> Gull NOUN
Gull#family	en	Laridae	1	Larida NOUN	
Gull#family	en	Gulls and kittiwakes	2	Gull NOUN	and CCONJ cc> kittiwake NOUN | kittiwake NOUN conj> Gull NOUN
Gull#family	en	Seagulls	2	Seagull PROPN	
Helicidae#family	en	Helicidae	0	Helicida NOUN	
Heron#family	en	Ardeidae	0	Ardeidae PROPN	
Heron#family	en	Herons, egrets and bitterns	0	Heron NOUN	, PUNCT punct> egret NOUN | egret NOUN conj> Heron NOUN | and CCONJ cc> bittern NOUN | bittern NOUN conj> Heron NOUN
Heron#family	en	Ardeidae	1	Ardeidae PROPN	
Heron#family	en	Herons, egrets and bitterns	2	Heron NOUN	, PUNCT punct> egret NOUN | egret NOUN conj> Heron NOUN | and CCONJ cc> bittern NOUN | bittern NOUN conj> Heron NOUN
Hippocastanaceae#family	en	Hippocastanaceae	0	Hippocastanaceae NOUN	
Hippopotamidae#family	en	Hippopotamidae	0	Hippopotamidae NOUN	
Hominidae#family	en	Hominidae	0	Hominida NOUN	
Hominidae#family	en	Great apes	0	ap NOUN	great ADJ amod> ap NOUN
Hominidae#family	en	Hominidae	1	Hominida NOUN	
Hominidae#family	en	Great apes	2	ap NOUN	great ADJ amod> ap NOUN
Hominidae#family	en	Hominids	2	Hominid NOUN	
Horseshoe_bat#family	en	Rhinolophidae	0	Rhinolophidae PROPN	
Horseshoe_bat#family	en	Horseshoe bats	0	bat NOUN	Horseshoe NOUN compound> bat NOUN
Horseshoe_bat#family	en	Rhinolophidae	1	Rhinolophidae PROPN	
Horseshoe_bat#family	en	Horseshoe bats	2	bat NOUN	Horseshoe NOUN compound> bat NOUN
Hummingbird#family	en	Trochilidae	0	Trochilida NOUN	
Hummingbird#family	en	Hummingbirds	0	Hummingbird PROPN	
Hummingbird#family	en	Trochilidae	1	Trochilida NOUN	
Hummingbird#family	en	Hummingbirds	2	Hummingbird PROPN	
Hyena#family	en	Hyaenidae	0	Hyaenidae NOUN	
Hypsilophodont#family	en	Hypsilophodontidae	0	Hypsilophodontidae NOUN	
Hyracodontidae#family	en	Hyracodontidae	0	Hyracodontidae NOUN	
Iguanidae#family	en	Iguanidae	0	Iguanidae NOUN	
Iguanidae#family	en	Iguanas	0	Iguanas PROPN	
Iguanidae#family	en	Iguanidae	1	Iguanidae NOUN	
Iguanidae#family	en	Iguanas	2	Iguanas PROPN	
Iguanodont#family	en	Iguanodontidae	0	Iguanodontidae NOUN	
Indriidae#family	en	Indridae	0	Indrida NOUN	
Indriidae#family	en	Sifakas, woolly lemurs and indri	0	Sifaka PROPN	, PUNCT punct> lemur NOUN | woolly ADV advmod> lemur NOUN | lemur NOUN conj> Sifaka PROPN | and CCONJ cc> indri NOUN | indri NOUN conj> Sifaka PROPN
Indriidae#family	en	Indridae	1	Indrida NOUN	
Indriidae#family	en	Indridae 	2	Indrida NOUN	
Indriidae#family	en	Sifakas, woolly lemurs and indri	2	Sifaka PROPN	, PUNCT punct> lemur NOUN | woolly ADV advmod> lemur NOUN | lemur NOUN conj> Sifaka PROPN | and CCONJ cc> indri NOUN | indri NOUN conj> Sifaka PROPN
Iniidae#family	en	Iniidae	0	Iniida NOUN	
Jumping_spider#family	en	Salticidae	0	Salticidae NOUN	
Jumping_spider#family	en	Jumping spiders	0	spider NOUN	jumping NOUN compound> spider NOUN
Jumping_spider#family	en	Salticidae	1	Salticidae NOUN	
Jumping_spider#family	en	Jumping spiders	2	spider NOUN	jumping NOUN compound> spider NOUN
Jumping_spider#family	en	Salticids	2	Salticid PROPN	
Kannemeyeriidae#family	en	Kannemeyeriidae	0	Kannemeyeriidae PROPN	
Lacertidae#family	en	Lacertidae	0	Lacertida NOUN	
Lacertidae#family	en	Wall lizards	0	lizard NOUN	Wall ADJ amod> lizard NOUN
Lacertidae#family	en	Lacertidae	1	Lacertida NOUN	
Lacertidae#family	en	Lacertids	2	Lacertid NOUN	
Lacertidae#family	en	True lizards	2	lizard NOUN	true ADJ amod> lizard NOUN
Lacertidae#family	en	Wall lizards	2	lizard NOUN	Wall ADJ amod> lizard NOUN
Lamnidae#family	en	Lamnidae	0	Lamnida NOUN	
Lark#family	en	Alaudidae	0	Alaudidae PROPN	
Leaf-nosed_bat#family	en	Phyllostomidae	0	Phyllostomida NOUN	
Lemuridae#family	en	Lemuridae	0	Lemuridae PROPN	
Lemuridae#family	en	True lemurs	0	lemur NOUN	true ADJ amod> lemur NOUN
Lemuridae#family	en	Lemuridae	1	Lemuridae PROPN	
Lemuridae#family	en	Lemuridae	2	Lemuridae PROPN	
Lemuridae#family	en	True lemurs	2	lemur NOUN	true ADJ amod> lemur NOUN
Leporidae#family	en	Leporidae	0	Leporidae PROPN	
Leporidae#family	en	Hares and rabbits	0	Hare NOUN	and CCONJ cc> rabbit NOUN | rabbit NOUN conj> Hare NOUN
Leporidae#family	en	Leporidae	1	Leporidae PROPN	
Leporidae#family	en	Hares and rabbits	2	Hare NOUN	and CCONJ cc> rabbit NOUN | rabbit NOUN conj> Hare NOUN
Leptodactylidae#family	en	Leptodactylidae	0	Leptodactylidae PROPN	
Liliaceae#family	en	Liliaceae	0	Liliaceae PROPN	
Liliaceae#family	en	Lilies	0	Lily NOUN	
Liliaceae#family	en	Liliaceae	1	Liliaceae PROPN	
Liliaceae#family	en	Lilies	2	Lily NOUN	
Liliaceae#family	en	Lily family	2	family NOUN	Lily PROPN compound> family NOUN
Liphistiidae#family	en	Liphistiidae	0	Liphistiidae PROPN	
Lorisidae#family	en	Lorisidae	0	Lorisidae NOUN	
Lungless_salamander#family	en	Plethodontidae	0	Plethodontida NOUN	
Lungless_salamander#family	en	Lungless salamanders	0	salamander NOUN	lungless NOUN compound> salamander NOUN
Lungless_salamander#family	en	Plethodontidae	1	Plethodontida NOUN	
Lungless_salamander#family	en	Lungless salamanders	2	salamander NOUN	lungless NOUN compound> salamander NOUN
Lycaenidae#family	en	Lycaenidae	0	Lycaenidae PROPN	
Lycaenidae#family	en	Gossamer-winged butterflies	0	butterfly NOUN	Gossamer NOUN obl:npmod> win VERB | - PUNCT punct> win VERB | win VERB amod> butterfly NOUN
Lycaenidae#family	en	Lycaenidae	1	Lycaenidae PROPN	
Lycaenidae#family	en	Gossamer-winged butterflies	2	butterfly NOUN	Gossamer NOUN obl:npmod> win VERB | - PUNCT punct> win VERB | win VERB amod> butterfly NOUN
Macraucheniidae#family	en	Macraucheniidae	0	Macraucheniidae NOUN	
Macropod#family	en	Macropodidae	0	Macropodidae NOUN	
Macropod#family	en	Kangaroos and wallabies	0	Kangaroos NOUN	and CCONJ cc> wallaby NOUN | wallaby NOUN conj> Kangaroos NOUN
Macropod#family	en	Macropodidae	1	Macropodidae NOUN	
Macropod#family	en	Kangaroos and wallabies	2	Kangaroos NOUN	and CCONJ cc> wallaby NOUN | wallaby NOUN conj> Kangaroos NOUN
Macropod#family	en	Macropods	2	Macropod PROPN	
Mammutidae#family	en	Mammutidae	0	Mammutida NOUN	
Manakin#family	en	Pipridae	0	Piprida NOUN	
Manakin#family	en	Manakins	0	Manakin PROPN	
Manakin#family	en	Pipridae	1	Piprida NOUN	
Manakin#family	en	Manakins	2	Manakin PROPN	
Manidae#family	en	Manidae	0	Manida NOUN	
Marlin#family	en	Istiophoridae	0	Istiophoridae NOUN	
Megabat#family	en	Pteropodidae	0	Pteropodida NOUN	
Megabat#family	en	Megabats	0	Megabat PROPN	
Megabat#family	en	Pteropodidae	1	Pteropodida NOUN	
Megabat#family	en	Megabats	2	Megabat PROPN	
Megachilidae#family	en	Megachilidae	0	Megachilida NOUN	
Megaluridae#family	en	Megaluridae	0	Megalurida NOUN	
Megapode#family	en	Megapodiidae	0	Megapodiida NOUN	
Megapode#family	en	Megapodes	0	Megapode PROPN	
Megapode#family	en	Megapodiidae	1	Megapodiida NOUN	
Megapode#family	en	Incubator birds	2	bird NOUN	Incubator NOUN compound> bird NOUN
Megapode#family	en	Megapodes	2	Megapode PROPN	
Megapode#family	en	Megapodiidae	2	Megapodiida NOUN	
Megapode#family	en	Mound builders	2	builders NOUN	mound NOUN compound> builders NOUN
Mongoose#family	en	Herpestidae	0	Herpestida NOUN	
Mongoose#family	en	Mongooses	0	Mongoose PROPN	
Mongoose#family	en	Herpestidae	1	Herpestida NOUN	
Mongoose#family	en	Mongooses	2	Mongoose PROPN	
Monodontidae#family	en	Monodontidae	0	Monodontida NOUN	
Monodontidae#family	en	White whales	0	whale NOUN	white PROPN compound> whale NOUN
Monodontidae#family	en	Monodontidae	1	Monodontida NOUN	
Monodontidae#family	en	Beluga and narwhal	2	Beluga PROPN	and CCONJ cc> narwhal ADJ | narwhal ADJ conj> Beluga PROPN
Monodontidae#family	en	White whales	2	whale NOUN	white PROPN compound> whale NOUN
Motacillidae#family	en	Motacillidae	0	Motacillida NOUN	
Muridae#family	en	Muridae	0	Muridae PROPN	
Muridae#family	en	Old World rats and mice	0	rat NOUN	old PROPN compound> world PROPN | world PROPN compound> rat NOUN | and CCONJ cc> mouse NOUN | mouse NOUN conj> rat NOUN
Muridae#family	en	Muridae	1	Muridae PROPN	
Muridae#family	en	Old World rats and mice	2	rat NOUN	old PROPN compound> world PROPN | world PROPN compound> rat NOUN | and CCONJ cc> mouse NOUN | mouse NOUN conj> rat NOUN
Mustelidae#family	en	Mustelidae	0	Mustelidae PROPN	
Mustelidae#family	en	Weasel family	0	family NOUN	Weasel PROPN compound> family NOUN
Mustelidae#family	en	Mustelidae	1	Mustelidae PROPN	
Mustelidae#family	en	Mustelids	2	Mustelid PROPN	
Mustelidae#family	en	Weasel family	2	family NOUN	Weasel PROPN compound> family NOUN
Myrmecophagidae#family	en	Myrmecophagidae	0	Myrmecophagidae NOUN	
Neovenatoridae#family	en	Neovenatoridae	0	Neovenatoridae NOUN	
Nepenthaceae#family	en	Nepenthaceae	0	Nepenthaceae NOUN	
New_World_vulture#family	en	Cathartidae	0	Cathartida NOUN	
New_World_vulture#family	en	New World vultures	0	vulture NOUN	New PROPN compound> world PROPN | world PROPN compound> vulture NOUN
New_World_vulture#family	en	Cathartidae	1	Cathartida NOUN	
New_World_vulture#family	en	New World vultures	2	vulture NOUN	New PROPN compound> world PROPN | world PROPN compound> vulture NOUN
New_Zealand_parrot#family	en	Nestoridae	0	Nestoridae NOUN	
New_Zealand_parrot#family	en	New Zealand parrots	0	parrot NOUN	New PROPN compound> Zealand PROPN | Zealand PROPN compound> parrot NOUN
New_Zealand_parrot#family	en	Nestoridae	1	Nestoridae NOUN	
New_Zealand_parrot#family	en	New Zealand parrots	2	parrot NOUN	New PROPN compound> Zealand PROPN | Zealand PROPN compound> parrot NOUN
Nightjar#family	en	Caprimulgidae	0	Caprimulgidae NOUN	
Nursery_web_spider#family	en	Pisauridae	0	Pisauridae NOUN	
Nymphalidae#family	en	Nymphalidae	0	Nymphalidae PROPN	
Nymphalidae#family	en	Brush-footed butterflies	0	butterfly NOUN	Brush PROPN obl:npmod> foote VERB | - PUNCT punct> foote VERB | foote VERB amod> butterfly NOUN
Nymphalidae#family	en	Nymphalidae	1	Nymphalidae PROPN	
Nymphalidae#family	en	Brush-footed butterflies	2	butterfly NOUN	Brush PROPN obl:npmod> foote VERB | - PUNCT punct> foote VERB | foote VERB amod> butterfly NOUN
Oceanic_dolphin#family	en	Delphinidae	0	Delphinidae PROPN	
Oceanic_dolphin#family	en	Oceanic dolphins	0	dolphin NOUN	Oceanic ADJ amod> dolphin NOUN
Oceanic_dolphin#family	en	Delphinidae	1	Delphinidae PROPN	
Oceanic_dolphin#family	en	Oceanic dolphins	2	dolphin NOUN	Oceanic ADJ amod> dolphin NOUN
Octopodidae#family	en	Octopodidae	0	Octopodidae PROPN	
Odobenidae#family	en	Odobenidae	0	Odobenidae NOUN	
Old_World_flycatcher#family	en	Muscicapidae	0	Muscicapidae PROPN	
Old_World_flycatcher#family	en	Old world flycatchers	0	flycatcher NOUN	old ADJ amod> world NOUN | world NOUN compound> flycatcher NOUN
Old_World_flycatcher#family	en	Muscicapidae	1	Muscicapidae PROPN	
Old_World_flycatcher#family	en	Old world flycatchers	2	flycatcher NOUN	old ADJ amod> world NOUN | world NOUN compound> flycatcher NOUN
Old_World_monkey#family	en	Cercopithecidae	0	Cercopithecida NOUN	
Old_World_monkey#family	en	Old world monkeys	0	monkey NOUN	old ADJ amod> world NOUN | world NOUN compound> monkey NOUN
Old_World_monkey#family	en	Cercopithecidae	1	Cercopithecida NOUN	
Old_World_monkey#family	en	Old world monkeys	2	monkey NOUN	old ADJ amod> world NOUN | world NOUN compound> monkey NOUN
Ophthalmosauridae#family	en	Ophthalmosauridae	0	Ophthalmosaurida NOUN	
Orb-weaver_spider#family	en	Araneidae	0	Araneidae PROPN	
Orb-weaver_spider#family	en	Orb weavers	0	weaver NOUN	Orb PROPN compound> weaver NOUN
Orb-weaver_spider#family	en	Araneidae	1	Araneidae PROPN	
Orb-weaver_spider#family	en	Orb spiders	2	spider NOUN	Orb PROPN compound> spider NOUN
Orb-weaver_spider#family	en	Orb weavers	2	weaver NOUN	Orb PROPN compound> weaver NOUN
Orb-weaver_spider#family	en	Orbweavers	2	Orbweaver NOUN	
Orb-weaver_spider#family	en	Orb weaver spiders	2	Orb VERB	spider NOUN obj> Orb VERB
Orchidaceae#family	en	Orchidaceae	0	Orchidaceae PROPN	
Orchidaceae#family	en	Orchids	0	Orchid PROPN	
Orchidaceae#family	en	Orchidaceae	1	Orchidaceae PROPN	
Orchidaceae#family	en	Orchid family	2	family NOUN	Orchid ADJ amod> family NOUN
Orchidaceae#family	en	Orchids	2	Orchid PROPN	
Ornithorhynchidae#family	en	Ornithorhynchidae	0	Ornithorhynchidae PROPN	
Oviraptoridae#family	en	Oviraptoridae	0	Oviraptoridae NOUN	
Oystercatcher#family	en	Haematopodidae	0	Haematopodidae NOUN	
Palaeotheriidae#family	en	Palaeotheriidae	0	Palaeotheriidae NOUN	
Pandionidae#family	en	Pandionidae	0	Pandionidae NOUN	
Panuridae#family	en	Panuridae	0	Panurida NOUN	
Papaveraceae#family	en	Papaveraceae	0	Papaveracea NOUN	
Passifloraceae#family	en	Passifloraceae	0	Passifloracea NOUN	
Pelomedusidae#family	en	Pelomedusidae	0	Pelomedusida NOUN	
Penguin#family	en	Spheniscidae	0	Spheniscida NOUN	
Penguin#family	en	Penguins	0	Penguins PROPN	
Penguin#family	en	Spheniscidae	1	Spheniscida NOUN	
Penguin#family	en	Penguins	2	Penguins PROPN	
Petauridae#family	en	Petauridae	0	Petauridae PROPN	
Petromyzontidae#family	en	Petromyzontidae	0	Petromyzontidae PROPN	
Phalangeridae#family	en	Phalangeridae	0	Phalangerida NOUN	
Phascolarctidae#family	en	Phascolarctidae	0	Phascolarctida NOUN	
Phasianidae#family	en	Phasianidae	0	Phasianida NOUN	
Phasianidae#family	en	Pheasants and partridges	0	Pheasant NOUN	and CCONJ cc> partridge NOUN | partridge NOUN conj> Pheasant NOUN
Phasianidae#family	en	Phasianidae	1	Phasianida NOUN	
Phasianidae#family	en	Pheasants and partridges	2	Pheasant NOUN	and CCONJ cc> partridge NOUN | partridge NOUN conj> Pheasant NOUN
Phylloscopidae#family	en	Phylloscopidae	0	Phylloscopida NOUN	
Physeteridae#family	en	Physeteridae	0	Physeterida NOUN	
Picathartidae#family	en	Picathartidae	0	Picathartida NOUN	
Pieridae#family	en	Pieridae	0	Pierida NOUN	
Pieridae#family	en	Sulphurs and whites	0	Sulphur NOUN	and CCONJ cc> whites NOUN | whites NOUN conj> Sulphur NOUN
Pieridae#family	en	Pieridae	1	Pierida NOUN	
Pieridae#family	en	Sulphurs and whites	2	Sulphur NOUN	and CCONJ cc> whites NOUN | whites NOUN conj> Sulphur NOUN
Pinaceae#family	en	Pinaceae	0	Pinacea NOUN	
Pitheciidae#family	en	Cebidae	0	Cebida NOUN	
Pitheciidae#family	en	Titis, sakis and uakaris	0	Titis NOUN	, PUNCT punct> sakis NOUN | sakis NOUN conj> Titis NOUN | and CCONJ cc> uakaris NOUN | uakaris NOUN conj> Titis NOUN
Pitheciidae#family	en	Cebidae	1	Cebida NOUN	
Pitheciidae#family	en	Titis, sakis and uakaris	2	Titis NOUN	, PUNCT punct> sakis NOUN | sakis NOUN conj> Titis NOUN | and CCONJ cc> uakaris NOUN | uakaris NOUN conj> Titis NOUN
Ploceidae#family	en	Ploceidae	0	Ploceida NOUN	
Poaceae#family	en	Poaceae	0	Poacea NOUN	
Poaceae#family	en	Grasses	0	Grasse NOUN	
Poaceae#family	en	Poaceae	1	Poacea NOUN	
Poaceae#family	en	Grasses	2	Grasse NOUN	
Porpoise#family	en	Phocoenidae	0	Phocoenida NOUN	
Procellariidae#family	en	Procellariidae	0	Procellariida NOUN	
Procellariidae#family	en	Petrels and shearwaters	0	Petrel NOUN	and CCONJ cc> shearwater NOUN | shearwater NOUN conj> Petrel NOUN
Procellariidae#family	en	Procellariidae	1	Procellariida NOUN	
Procellariidae#family	en	Petrels and shearwaters	2	Petrel NOUN	and CCONJ cc> shearwater NOUN | shearwater NOUN conj> Petrel NOUN
Procyonidae#family	en	Procyonidae	0	Procyonida NOUN	
Procyonidae#family	en	Raccoon and coati family	0	Raccoon PROPN	and CCONJ cc> family NOUN | coati ADJ amod> family NOUN | family NOUN conj> Raccoon PROPN
Procyonidae#family	en	Procyonidae	1	Procyonida NOUN	
Procyonidae#family	en	Raccoon and coati family	2	Raccoon PROPN	and CCONJ cc> family NOUN | coati ADJ amod> family NOUN | family NOUN conj> Raccoon PROPN
Protoceratopsid#family	en	Protoceratopsidae	0	Protoceratopsida NOUN	
Prunellidae#family	en	Prunellidae	0	Prunellida NOUN	
Pseudorhyncocyonidae#family	en	Pseudorhyncocyonidae	0	Pseudorhyncocyonida NOUN	
Rallidae#family	en	Rallidae	0	Rallidae PROPN	
Rallidae#family	en	Rails and coots	0	rail NOUN	and CCONJ cc> coot NOUN | coot NOUN conj> rail NOUN
Rallidae#family	en	Rallidae	1	Rallidae PROPN	
Rallidae#family	en	Rails and coots	2	rail NOUN	and CCONJ cc> coot NOUN | coot NOUN conj> rail NOUN
