taxon	group	level
Soprano_Pipistrelle#species	Bat#order	order
Spectacled_Caiman#species	Reptile#class	class
Star-nosed_Mole#species	Mammal#class	class
Stellers_Sea_Eagle#species	Accipitridae#family	family
Stinging_nettle#species	Dicotyledon#class	class
Tiger#species	Carnivora#order	order
Vanessa_cardui#species	Lepidoptera#order	order
Vipera_berus#species	Snake#suborder	suborder
Water_Buffalo#species	Bovid#family	family
Water_Rail#species	Bird#class	class
Western_Marsh_Harrier#species	Accipitridae#family	family
Wild_Turkey#species	Bird#class	class
Winter_Wren#species	Passerine#order	order
Wood_Stork#species	Bird#class	class
Proboscidea#order	Mammal#class	class
Chordate#phylum	Chordate#phylum	phylum
Actinopterygii#class	Actinopterygii#class	class
Amphibian#class	Amphibian#class	class
Arachnid#class	Arthropod#phylum	phylum
Bird#class	Bird#class	class
Bivalvia#class	Mollusca#phylum	phylum
Cephalaspidomorphi#class	Chordate#phylum	phylum
Cephalopod#class	Mollusca#phylum	phylum
Chondrichthyes#class	Chordate#phylum	phylum
Clitellata#class	Life#life	life
Dicotyledon#class	Dicotyledon#class	class
Gastropoda#class	Mollusca#phylum	phylum
Insect#class	Insect#class	class
Jellyfish#class	Animal#kingdom	kingdom
Malacostraca#class	Arthropod#phylum	phylum
Maxillopoda#class	Arthropod#phylum	phylum
Merostomata#class	Arthropod#phylum	phylum
Monocotyledon#class	Monocotyledon#class	class
Pinopsida#class	Plant#kingdom	kingdom
Polychaete#class	Animal#kingdom	kingdom
Prymnesiophyceae#class	Life#life	life
Reptile#class	Reptile#class	class
Sarcopterygii#class	Chordate#phylum	phylum
Sea_star#class	Animal#kingdom	kingdom
Sea_urchin#class	Animal#kingdom	kingdom
Synapsid#class	Chordate#phylum	phylum
Abelisauridae#family	Theropoda#suborder	suborder
Acanthasteridae#family	Animal#kingdom	kingdom
Accipitridae#family	Accipitridae#family	family
Aceraceae#family	Dicotyledon#class	class
Acrididae#family	Insect#class	class
Acrocephalidae#family	Passerine#order	order
Aegithalidae#family	Passerine#order	order
Aeshnidae#family	Insect#class	class
Agamidae#family	Lizard#suborder	suborder
Ailuridae#family	Carnivora#order	order
Albatross#family	Bird#class	class
Alliaceae#family	Monocotyledon#class	class
Alligatoridae#family	Reptile#class	class
Allosauridae#family	Theropoda#suborder	suborder
Amaryllidaceae#family	Monocotyledon#class	class
Ambulocetidae#family	Cetacea#order	order
Anatidae#family	Bird#class	class
Anchovy#family	Actinopterygii#class	class
Anguidae#family	Lizard#suborder	suborder
Anostostomatidae#family	Insect#class	class
Ant#family	Hymenoptera#order	order
Antilocapridae#family	Even-toed_ungulate#order	order
Apidae#family	Hymenoptera#order	order
Apocynaceae#family	Dicotyledon#class	class
Araceae#family	Monocotyledon#class	class
Arowana#family	Actinopterygii#class	class
Asiatic_salamander#family	Amphibian#class	class
Asparagaceae#family	Monocotyledon#class	class
Astacidae#family	Arthropod#phylum	phylum
Asteraceae#family	Dicotyledon#class	class
Asteriidae#family	Animal#kingdom	kingdom
Atelidae#family	Primate#order	order
Attelabidae#family	Insect#class	class
Auk#family	Charadriiformes#order	order
Azhdarchidae#family	Reptile#class	class
Balaenicipitidae#family	Bird#class	class
Balaenidae#family	Cetacea#order	order
Basilosauridae#family	Cetacea#order	order
Beaked_whale#family	Cetacea#order	order
Bear#family	Carnivora#order	order
Birds_of_Paradise#family	Passerine#order	order
Blesmol#family	Rodent#order	order
Boidae#family	Snake#suborder	suborder
Bombycillidae#family	Passerine#order	order
Bovid#family	Bovid#family	family
Bradypodidae#family	Mammal#class	class
Bustard#family	Bird#class	class
Callitrichidae#family	Primate#order	order
Calopterygidae#family	Insect#class	class
Camelid#family	Even-toed_ungulate#order	order
Canidae#family	Carnivora#order	order
Carcharodontosauridae#family	Theropoda#suborder	suborder
Castoridae#family	Rodent#order	order
Caviidae#family	Rodent#order	order
Ceratopogonidae#family	Insect#class	class
Ceratopsidae#family	Dinosaur#superorder	superorder
Cetorhinidae#family	Chordate#phylum	phylum
Chameleon#family	Lizard#suborder	suborder
Characidae#family	Actinopterygii#class	class
Charadriidae#family	Charadriiformes#order	order
Cheirogaleidae#family	Primate#order	order
Cicada#family	Insect#class	class
Cinclidae#family	Passerine#order	order
Clusiaceae#family	Dicotyledon#class	class
Coccinellidae#family	Insect#class	class
Cockatoo#family	Bird#class	class
Coelophysidae#family	Theropoda#suborder	suborder
Colubrid#family	Snake#suborder	suborder
Colugo#family	Mammal#class	class
Columbidae#family	Bird#class	class
Conidae#family	Mollusca#phylum	phylum
Cordylidae#family	Lizard#suborder	suborder
Corvidae#family	Passerine#order	order
Crane_bird#family	Bird#class	class
Cricetidae#family	Rodent#order	order
Crocodile#family	Reptile#class	class
Cupressaceae#family	Plant#kingdom	kingdom
Cyperaceae#family	Monocotyledon#class	class
Dasypodidae#family	Mammal#class	class
Dasyuridae#family	Mammal#class	class
Deer#family	Even-toed_ungulate#order	order
Diplodocid#family	Dinosaur#superorder	superorder
Dormouse#family	Rodent#order	order
Dromaeosauridae#family	Theropoda#suborder	suborder
Droseraceae#family	Dicotyledon#class	class
Dugongidae#family	Mammal#class	class
Dytiscidae#family	Insect#class	class
Eared_seal#family	Carnivora#order	order
Earless_seal#family	Carnivora#order	order
Elapidae#family	Snake#suborder	suborder
Elephant_shrew#family	Mammal#class	class
Emberizidae#family	Passerine#order	order
Equidae#family	Mammal#class	class
Erinaceidae#family	Mammal#class	class
Estrildidae#family	Passerine#order	order
Eupleridae#family	Carnivora#order	order
Fagaceae#family	Dicotyledon#class	class
Falconidae#family	Bird#class	class
Felidae#family	Carnivora#order	order
Finch#family	Passerine#order	order
Firefly#family	Insect#class	class
Gavialidae#family	Reptile#class	class
Gecko#family	Lizard#suborder	suborder
Giant_salamander#family	Amphibian#class	class
Gibbon#family	Primate#order	order
Giraffidae#family	Even-toed_ungulate#order	order
Grebe#family	Bird#class	class
Gull#family	Charadriiformes#order	order
Helicidae#family	Mollusca#phylum	phylum
Heron#family	Bird#class	class
Hippocastanaceae#family	Dicotyledon#class	class
Hippopotamidae#family	Even-toed_ungulate#order	order
Hominidae#family	Primate#order	order
Horseshoe_bat#family	Bat#order	order
Hummingbird#family	Bird#class	class
Hyena#family	Carnivora#order	order
Hypsilophodont#family	Dinosaur#superorder	superorder
Hyracodontidae#family	Mammal#class	class
Iguanidae#family	Lizard#suborder	suborder
Iguanodont#family	Dinosaur#superorder	superorder
Indriidae#family	Primate#order	order
Iniidae#family	Cetacea#order	order
Jumping_spider#family	Arthropod#phylum	phylum
Kannemeyeriidae#family	Chordate#phylum	phylum
Lacertidae#family	Lizard#suborder	suborder
Lamnidae#family	Chordate#phylum	phylum
Lark#family	Passerine#order	order
