feat	count	weight	rel_role	group_name
compound<case> by	1.0	0.321	adaptation_comment	Animal__kingdom
compound<conj<case> by	1.0	0.467	adaptation_comment	Animal__kingdom
nsubj<obj> soil	1.0	0.537	adaptation_comment	Animal__kingdom
nsubj> most	1.0	0.309	adaptation_comment	Animal__kingdom
acl:relcl> feed	1.0	0.542	adaptation_comment	Animal__kingdom
nsubj<conj<cop> be	1.0	0.516	adaptation_comment	Animal__kingdom
nsubj<cc> and	1.0	0.346	adaptation_comment	Animal__kingdom
nsubj< have	1.0	0.821	adaptation_comment	Animal__kingdom
det> both	1.0	1.307	adaptation_comment	Animal__kingdom
nsubj<advcl>aux> can	1.0	0.349	adaptation_comment	Animal__kingdom
nsubj<advcl>obj> it	1.0	0.363	adaptation_comment	Animal__kingdom
nsubj<conj>cc> and	1.0	0.565	adaptation_comment	Animal__kingdom
conj<case> of	1.0	0.424	adaptation_comment	Animal__kingdom
conj>advmod> usually	1.0	0.617	adaptation_comment	Animal__kingdom
nsubj<xcomp>mark> to	1.0	0.374	adaptation_comment	Animal__kingdom
nsubj<aux> do	1.0	0.682	adaptation_comment	Animal__kingdom
nmod< number	1.0	0.485	adaptation_comment	Animal__kingdom
appos>conj>cc> and	1.0	0.438	adaptation_comment	Animal__kingdom
amod> large	1.0	1.4	adaptation_comment	Animal__kingdom
nmod<conj>cc> and	1.0	0.162	adaptation_comment	Animal__kingdom
nmod<conj>acl> grow	1.0	0.37	adaptation_comment	Animal__kingdom
conj<nsubj> they	1.0	0.742	adaptation_comment	Animal__kingdom
nmod>case> on	1.0	0.902	adaptation_comment	Animal__kingdom
nmod<case> of	1.0	1.041	adaptation_comment	Animal__kingdom
conj>cop> be	1.0	0.503	adaptation_comment	Animal__kingdom
conj>case> on	1.0	0.747	adaptation_comment	Animal__kingdom
conj>det> the	1.0	0.599	adaptation_comment	Animal__kingdom
conj>nmod>case> of	1.0	0.507	adaptation_comment	Animal__kingdom
nmod<nmod<det> a	1.0	0.715	adaptation_comment	Animal__kingdom
nmod>case> for	1.0	0.819	adaptation_comment	Animal__kingdom
